,nombre_candidato,partido_coalicion,propuestas_general
98,LUCIA GONZALEZ LIBORIO,REDES SOCIALES PROGRESISTAS,Salud de fácil accesoPacto verde para los asentamientos humanos.
99,LUCIANO JIMENO HUANOSTA,VA POR MEXICO,"Una economía inclusiva con oportunidades para todas y todos.Justicia social, apoyando a la población en pobreza y vulnerabilidad.Que las mujeres indígenas, se empoderen más, y que puedan ejercer un Cargo Público o Servicio Social en su comunidad. Y en las zonas donde no son herederas de las tierras por usos y costumbres, que ellas también puedan gozar de esos derechos."
100,LUIS ALBERTO MENDOZA ACEVEDO,VA POR MEXICO,"Seguridad, prevención y sanción de delitos.  -	Propondré el regreso del FORTASEG, programa que desapareció la 4T y servía para la capacitación de los cuerpos policiales civiles. -	Más presupuesto para el uso de tecnologías que ayuden a combatir el crimen (Iluminación, cámaras de videovigilancia). -	Que los delitos de alto impacto con mayor incidencia en Benito Juárez se castiguen con penas más altas reformando el Código Penal Federal.  Estabilidad económica y reducción de cargas fiscales. -	Exigiremos el regreso del Instituto Nacional del Emprendedor, institución que eliminó la 4T y servía para otorgar apoyos a personas para arrancar su negocio o fortalecer  -      las áreas de oportunidad para mantenerse dentro del mercado de las MIPYMES. -	Propondré que en casos de emergencia el Gobierno genere programas de apoyo para las MIPYMES y exención de impuestos. -	Propondré eliminar el IVA en productos de primera necesidad y reducir el ISR.Defensa de las Instituciones  -	En busca de proteger y defender a los Organismos Constitucionales Autónomos, propondré una reforma a la Constitución para que estos no pierdan su autonomía ni se           subordinen al Poder Ejecutivo en turno.  Protección y cuidado del medio ambiente:  -	Exhortaré a la Secretaría del Medio Ambiente a que desarrolle campañas de prevención cuidado y responsabilidad medioambiental cumpliendo con los acuerdos de          México en la agenda 2030 de la ONU. -	Vamos a adecuar la clasificación de residuos urbanos para disminuir la contaminación.  Protección Civil y Prevención de Desastres -	Impulsaré la creación de un fondo que permita resarcir los daños causados por la desaparición del FONDEN. -	Propondré un proyecto de reformas para que en casos de emergencia no existan criterios que excluyan a Alcaldías como Benito Juárez."
101,LUIS DANIEL NAVA ROMERO,PARTIDO ENCUENTRO SOLIDARIO,"Recuperación de presupuestos públicos para programas en materia de salud publica, para la prevención de la violencia de genero y para prevención de la violencia y delincuencia en el sector juvenil."
102,MARCELINO CASTAÑEDA NAVARRETE,VA POR MEXICO,"Que el sector salud tenga un mayor presupuesto, garantizando el abastecimiento de medicinas y servicios médicos.Condonar los servicios públicos (Agua, luz, etc.) a efector de dar una emergente recuperación en los hogares, por los efectos de la pandemia.REACTIVACIÓN DEL EMPODERAMIENTO DE LA MUJER A TRAVÉS DE LOS PROGRAMAS SOCIALES ENFOCADOS A ESTE SECTOR VULNERABLE DE LA REGIÓN E IMPULSAR EL RESCATE DE LAS CULTURAS ORIGINARIAS."
103,MARGARITA ANTONIO CARDIEL,REDES SOCIALES PROGRESISTAS,"La educación ambiental, el cuidado y preservación de los recursos naturales, las zonas y especies protegidas.La prevención de maltrato animal, legislar para que las penas sean más severas ante este delito y vigilar que se hagan valer los derechos de animales.Promover reformas Constitucionales y a leyes secundarias para fortalecer el papel y representación de la mujer, de los jóvenes, adultos mayores y personas con capacidades diferentes, en condiciones de igualdad, así como para mejorar la economía, la salud, el empleo, el Medio ambiente y el desarrollo regional con perspectiva de género, garantizando igualdad de oportunidades para mujeres y hombres en todos los ámbitos."
104,MARGARITA ESTER ZAVALA GOMEZ DEL CAMPO,VA POR MEXICO,"Un México donde tú y tu familia se sientan seguros.Un México con justicia.Cito a la antropóloga argentina Rita Segato. La violencia de género es la primera escuela de todas las otras formas de violencia.  La violencia de género es estructural y si queremos empezar de verdad a erradicarla hace falta ir a sus raíces para arrancarlas y, entonces y solo entonces, podremos empezar a sembrar de verdad igualdad.  Enunciaré tres propuestas en materia de género: -	Regular a través de un consejo revisor del Instituto Nacional de las Mujeres todos los contenidos publicitarios para que se prohíba los que incurran de manera explícita o sutil en la propagación y reforzamiento de lenguaje sexista, roles de género, prejuicios y estereotipos de género. O etiquetarlos: Alto contenido Machista, Induce a la violencia de género, Lenguaje sexista, son ejemplos de etiquetas que adviertan.   -	Impulsar a través del Instituto Nacional de la Mujer y sus afines en los estados, la reedición de todos los documentos gubernamentales con lenguaje incluyente.  -	Convenir con el sector educativo para que en los niveles en los que se nombren representantes de grupo, la convocatoria o reglas incluyan la paridad de género."
105,MARIA ANGELICA DIAZ DEL CAMPO,PARTIDO VERDE ECOLOGISTA DE MÉXICO,"GESTIONAR LA CONSTRUCCIÓN DE UN HOSPITAL GENERAL EN LA ALCALDÍA XOCHIMILCO, CON SERVICIOS DE REGISTRO CIVIL, MINISTERIO PÚBLICO Y CÁMARA DE GESELL.IMPULSAR LA CREACIÓN DE REFUGIOS VERDES PARA MUJERES VIOLENTADAS EN COYOACÁN Y XOCHIMILCO.ATENCIÓN AL DESARROLLO INTEGRAL DE INFANTES EN SITUACIÓN DE CAPACIDAD INTELECTUAL ESPECIAL."
106,MARIA DE JESUS ROSETE SANCHEZ,JUNTOS HACEMOS HISTORIA,"Regular al trabajador en el espacio públicoApoyo a los contribuyentes. Fiscales, Vivienda, Educación."
107,MARIA DE LOS ANGELES LUCERO DELGADILLO,REDES SOCIALES PROGRESISTAS,"Avanzar en la legislación de la paridad de género para que los programas sean más eficaces y la procuración de justicia para las mujeres que sufren violencia y abuso sea más expedita.Armonizar las leyes de protección para las personas adultas mayores y garantizar el derecho a una vejes digna y acompañada por los servicios del estado, de las familias y la sociedad civil.Creación de leyes menos discriminatoria respecto al género o grupo minoritario"
108,MARIA DE LOS ANGELES MARTINEZ AGUSTIN,FUERZA POR MÉXICO,Reactivar las estancias Infantiles.Corredores ecoturístico.
109,MARIA DEL CARMEN CRUZ CANDIA,PARTIDO VERDE ECOLOGISTA DE MÉXICO,"CONTAMINACIÓN.IMPLEMENTACIÓN DE ENERGÍAS LIMPIAS.Mi propuesta en materia de género va en el sentido de empoderar, proteger y defender a las mujeres, cuya aportación para un México y Chiapas productivos, es indispensable. Daré prioridad a las gestiones y demandas de las mujeres de mi distrito y de todo el estado, para atender de manera expedita sus necesidades. Velaré por el ejercicio pleno de sus derechos y la recepción de los beneficios de los programas sociales que les corresponden. Asimismo, de la mano de mi propuesta central de crear más empleos y bien pagados, vigilaré que a las mujeres del Estado se les pague cada vez mejor y en condiciones de igualdad respecto de los hombres."
110,MARIA DEL CARMEN HUERTA GRAJALES,REDES SOCIALES PROGRESISTAS,"Apoyar a niños y adultos mayores para que tengan garantizada su alimentación y una vida digna sin ser víctimas de abuso y violencia.Un apoyo a la mujer maltratada, física o emocionalmente donde se le garantiza una vida digna impulsando trabajos y capacitación para empoderarla ante la sociedad.Aumentar el presupuesto a la fiscalía de la mujer y diversas reformas al código penal "
111,MARIA DEL RAYO HERNANDEZ GARCIA,PARTIDO ENCUENTRO SOLIDARIO,LA DEFENSA Y REACTIVACION ECONOMICA DEL COMERCIO ESTABLECIDO.REGULARIZAR EL SERVICIO DE AGUA POTABLE EN CANTIDAD Y CALIDAD.
112,MARIA DEL ROCIO BANQUELLS NUÑEZ,VA POR MEXICO,"AUMENTO AL PRESUPUESTO PARA LA SEGURIDAD, PARA EL SECTOR SALUD E INCREMENTAR EL SALARIO MÍNIMO PARA LOGRAR QUE TODAS LAS FAMILIAS MEXICANAS PUEDAN PAGAR LOS SERVICIOS Y ALIMENTOS NECESARIOS PARA SU BIENESTAR.DARLE EL SEGUIMIENTO QUE SE MERECE LA LEY DE PROTECCIÓN A LOS ANIMALES Y PROTEGER LOS BOSQUES, DADO QUE SON EL PULMÓN DE NUESTRA CDMX., ASI COMO PROPONER EL CAMBIO DE LAS TUBERIAS DE TODA LA RED DE AGUA, POR MATERIAS NO TÓXICAS QUE PROTEJAN NUESTRO MEDIO AMBIENTE Y AL MISMO TIEMPO TOMAR CONCIENCIA DE NO DESPERDICIAR EL ELEMENTO MAS VITAL PARA TODO SER VIVO, EL AGUA.Legislar la inclusión de acciones afirmativas en la defensa de los derechos humanos de las mujeres originarias en las que se generen mejores condiciones en nuestra participación política, social y cultural, que se garantice la plena participación en la toma de decisiones."
113,MARIA GUADALUPE CHAVIRA DE LA ROSA,MORENA,"Consolidar una región con mayor desarrollo económico y social, buscando nuevos horizontes para los sectores productivos a través del uso de tecnología y energía limpia. Promoviendo la inversión pública y privada. Ampliar la inversión en infraestructura hidroagrícola, para que este territorio siga siendo un pulmón de la Ciudad de México.El cambio climático es la mayor amenaza medioambiental a la que se enfrenta la humanidad, como consecuencia provoca la escasez de agua, entre otros problemas graves. Con sequías en todo el país y desbastó de agua potable, nos pone en una situación compleja y se espera que la situación sea más complicada en un futuro cercano. La CDMX está edificada sobre lo que era un lago, es una ciudad que se inunda en temporada de lluvias y que, aun así, padece insuficiencia de agua. Es por eso que propongo que se hable sobre este tema y se busque una solución a la problemática. La captación y el aprovechamiento del agua de lluvia se presenta como una de las alternativas en aquellas localidades o sitios donde el acceso al agua por medios convencionales no es suficiente; así mismo permite el ahorro en el consumo, la extracción de agua subterránea (pozos) y la disminución de volumen de escurrimientos pluviales. La escasez de agua en Tláhuac es un problema que no se ha resuelto, que afecta la de vida de más de 366 mil habitantes. Las personas pueden pasar días sin agua y buscan diversas formas de subsanarlo incluso con sus propios recursos, cuando se trata de un derecho universal.  En razón de lo antes mencionado, mi propuesta para que este problema se resuelva es la construcción de una presa subterránea para el almacenamiento y abastecimiento de agua de manera sustentable y sostenible. Este sistema consiste en colocar barreras impermeables debajo de la superficie de la tierra para bloquear el flujo natural de la lluvia y catarla en una presa cuando se filtra en lugar de dejarla correr.La inclusión absoluta LGBTTI en espacios públicos y servicios principales a las comunidades indígenas."
114,MARIA VERONICA MENDOZA CRUZ,PARTIDO VERDE ECOLOGISTA DE MÉXICO,"LA COHERENCIA DE POLÍTICAS PÚBLICAS DESDE UNA PERSPECTIVA DE GÉNERO PARA EL DESARROLLO DE LA MUJER EN LOS ÁMBITOS LABORALES.LA CREACIÓN DE UN MARCO LEGISLATIVO ADECUADO Y SIMPLIFICADO PARA INCENTIVAR Y FACILITAR LAS INVERSIONES Y EL ESTABLECIMIENTO DE AYUDAS Y LÍNEAS DE CRÉDITO PARA EL DESARROLLO DE UNA TRANSICIÓN ECOLÓGICA PARA LAS EMPRESAS.Como un partido progresista, incluyente y plural, garantizaremos la protección, promoción y materialización de los derechos a la diversidad sexual e identidad de género, grupos vulnerables y minorías (Afroamericanos, indígenas o discapacidad) Todos somos México Jóvenes, mujeres, adultos mayores, los pueblos y las comunidades indígenas, y personas con discapacidad. Buscamos materializar sus derechos con acciones, programas y recursos públicos.   La materialización de los derechos a los grupos minoritarios con acceso a servicios públicos de salud gratuitos y de calidad sin discriminación ni prejuicios; al reconocimiento pleno de las uniones de las personas del mismo sexo, político, de género o edad; a vivir en un ambiente de armonía y paz, sin poner en riesgo la vida o integridad física por su preferencia sexual o identidad de género, por edad o etnia; a la procuración de justicia pronta y expedita; y a eliminar todos los actos de discriminación o violencia hacia la comunidad LGBTTTIQ, pueblos originarios, adultos mayores o de género."
115,MARIANA VALDIVIA TOLEDO,PARTIDO VERDE ECOLOGISTA DE MÉXICO,"Empleo para todos los ciudadanos a través de su conformación gratuita de cooperativas.Propuesta de ley para el presupuesto autónomo y etiquetado de mayordomías.Establecer programas con resultados significativos y documentados para promover la equidad de género, que exista una instancia responsable de mi distrito para atender este tema y que cuente con esquemas para incluir la perspectiva de género en el diseño, desarrollo y control de la política pública municipal."
116,MARIBEL GUADALUPE VILLASEÑOR DAVILA,VA POR MEXICO,"Restructurar, vigilar y capacitar el aparato de sistema de Seguridad Federal.
Creación de un seguro de desempleo para el sector formal e informal  Creación de un sistema de protección de salud universal.Obligar con una ley, que ayude a prevenir los delitos de acoso y violencia que padecemos las mujeres, y que con capacitación se genere una cultura de respeto y que poco a poco las nuevas generaciones comprendan que el cáncer de la violencia es el machismo."
117,MARICELA GASTELU USERRALDE,VA POR MEXICO,"Devolver el presupuesto a programas de atención y salud para los mexicanos como: las estancias infantiles, el seguro popular, los tratamientos y medicina para niños, niñas y jóvenes con cáncer, el abastecimiento de medicina para personas con VIH y personas con discapacidad. Además de garantizar la aplicación universal de la vacuna contra el COVID sin tintes partidistas ni condición electoral.Fortalecer los programas de prevención y combate a la violencia de género que fueron eliminados y que dejaron a millones de mujeres en estado de indefensión, así como devolver el recurso para los refugios para mujeres, niños, niñas y adolescentes víctimas de violencia de género.Un programa de fomento institucional de la presencia y la participación de las mujeres en el ámbito de la representación política, con especial promoción en mujeres jóvenes e indígenas en las listas electorales. Acercar el Servicio Público de empleo a la juventud mediante orientadores, técnicos de empleos y servicios de información en centros juveniles y educativos."
118,MARILU ESQUIVEL RODRIGUEZ,PARTIDO VERDE ECOLOGISTA DE MÉXICO,MEJORAR EL SUMINISTRO DE AGUA POTABLE.DESARROLLAR LA INFRAESTRUCTURA NECESARIA PARA LA COMERCIALIZACIÓN DE LOS PRODUCTOS DEL CAMPO. EL MEJORAMIENTO DE LAS VIALIDADES.FORTALECER EL MARCO JURÍDICO EN MATERIA DE VIOLENCIA DE GÉNERO.
119,MARIO ALBERTO MARTINEZ RIOS,MOVIMIENTO CIUDADANO,"Presupuesto en diversas escuelas de la localidad para que sea ocupado en espacios que brinde artes, deportes y talleres de habilidades profesionales para la vida de cada estudiante.Incrementar el catálogo de delitos de prisión preventiva oficiosa comprendidos en el artículo 19 Constitucional; en específico el tema de narco menudeo en materia de fuero común."
120,MARY CARMEN LOPEZ MONROY,FUERZA POR MÉXICO,Incidir en la contra cultura de la violencia en todas sus formas.Incidir en proyectos sustentables y sostenidos para resolver el tema del agua en la CDMX y otros estados del país.erradicar la violencia contra las mujeres y creacion de mas centros contra la violencia contra la mujer y aumento al presupuesto de nuestro estado 
121,MAURICIO GARCIA JARQUIN,VA POR MEXICO,Dirigir el recurso para implementar una red hidráulica digna y eficiente  para tener un mejor servicio de agua potable en las colonias más vulnerables.Etiquetar el recurso suficiente para dotar de medicamentos esenciales en el sector salud.Fomentar respeto e igualdad en la población
122,MAYRA ISABEL NUÑEZ TENORIO,REDES SOCIALES PROGRESISTAS,"Fortalecer la economía de nuestros barrios y colonias con más apoyos, más seguridad y mayores garantías para nuestro comercio local, así como para las micro y pequeñas empresas.Impulsar reformas y leyes para que nuestro sistema de salud sea suficiente y eficiente para todos. Pero sobre todo ser la voz de nuestros niños, niñas y jóvenes quienes merecen mejores garantías de vida y una educación de calidad.NO MAS VIOLENCIA FAMILIAR.
QUE REALMENTE SE RESPETE LA PARIDAD DE GENERO EN MATERIA POLITICA.
QUE EN LAS DEPENDENCIAS DE GOBIERNO EXISTA LA PARIDAD DE GENERO."
123,MIGUEL ANGEL MORALES LARRAURI,MOVIMIENTO CIUDADANO,"Identidad: Legislar para que los pueblos de origen de Iztapalapa sean reconocidos e Incluidos en el catálogo de Pueblos y Barrios Originarios según lo establece la Ley de Pueblos y Barrios Originarlos de CDMX, que esto conlleva dentro de los programas federales y de la Ciudad de México.Asesoría Jurídica e identidad para todos y todas: Accionar y legislar para que la ciudadanía tenga asesoría jurídica, prácticamente a la puerta de su casa, de manera gratuita y expedita.La igualdad de género es la ausencia de discriminación basada en el sexo de la persona en materia de oportunidades. Asignación de recursos y beneficios o acceso a Los servicios. Para dar a reconocer la importancia de cada individuo asignar operaciones y actividades jerárquicas como tal haciendo valer sus derechos y valores."
124,MIGUEL ANGEL PEREZ LIMON,PARTIDO VERDE ECOLOGISTA DE MÉXICO,"MEJORAR LA CADENA DE ABASTO ALIMENTARIO.ACCESO A UNA CANASTA BÁSICA VARIADA Y EXTENSA A UN PRECIO ACCESIBLE.Promover reformas Constitucionales y a leyes secundarias para fortalecer el papel y representación de la mujer, de los jóvenes, adultos mayores y personas con capacidades diferentes, en condiciones de igualdad, así como para mejorar la economía, la salud, el empleo, el medio ambiente y el desarrollo regional con perspectiva de género, garantizando igualdad de oportunidades para mujeres y hombres en todos los ámbitos."
125,MISHEL IVAN BARRIENTOS PRADO,PARTIDO ENCUENTRO SOLIDARIO,Comunidades solidarias.Espacios solidarios. TODOS LOS QUE REQUIERAN TENDRÁN LA CERTEZA QUE TRABAJARE CON ELLOS Y POR ELLOS PARA ASÍ TENER UNA MEJOR SITUACIÓN DE VIDA.
126,MOISES LUIS CAMPOS NERIA,PARTIDO ENCUENTRO SOLIDARIO,"Erradicar la violencia y sus patrones generalizada contra las mujeres, como el acoso, el abuso, violencia sexual, política así como los feminicidios. Implementar estrategias de combate a la corrupción en nivel estatal y municipal."
127,NAHUM NAVAS RUIZ,PARTIDO ENCUENTRO SOLIDARIO,"Hacer una nación familiarmente responsable. Atacar el alto crecimiento de las adicciones.Que se siga fortaleciendo la participación de las mujeres indígenas en la vida pública de sus comunidades, respetando siempre sus usos y costumbres.  Seguir garantizando el derecho a la consulta libre, previa e informada de los pueblos y comunidades indígenas, para que su participación sea tomada en cuenta en la toma de decisiones políticas del gobierno. Que todo proyecto público o privado que se quiera realizar en sus comunidades, les sea consultado de manera previa.  Luchar para que existan más apoyos sociales para nuestros hermanos y hermanas indígenas, que generen bienestar y paz social en sus comunidades.  Que se destinen recursos al fomento en reconocimiento a su cultura, a sus creaciones artísticas a través de la promoción en medios de comunicación. Ayudando a promover el turismo sostenible y la reactivación económica por medio del turismo."
128,NATALIA HERNANDEZ QUIROZ,PARTIDO ENCUENTRO SOLIDARIO,PROGRAMA DE APOYO A MUJERES EN SITUACIÓN DE CALLEEDUCACIÓN CON PERSPECTIVA DE GÉNEROLA IGUALDAD DE DERECHOS PARA HOMBRES Y MUJERES.
129,NIOBE GABRIELA SEGURA DE ALVARADO,FUERZA POR MÉXICO,"Educación consciente.Economía creativa y sustentable.Para tener un impacto inmediato y resarcir la ausencia existente de integración de los diversos grupos sociales, me haré acompañar por personas especialistas en la materia de cada rubro para tener una eficacia certera y rápida que se requiere de forma emergente por las condiciones en que actualmente se encuentra este distrito XII electoral siempre con apego a derecho y en observancia de la propia constitución que nos rige."
130,NIZHULY YATHZIN ORTIZ MENA,REDES SOCIALES PROGRESISTAS,"MEJORAR LA CALIDAD DEL SISTEMA DE TRANSPORTE PÚBLICO. Uno de los principales problemas dentro de la demarcación por la que contiendo y aspiro, es sin duda el transporte público, ya que la ciudadanía expresa su miedo a ser víctimas de la delincuencia o de accidentes viales por la falta de cuidado y mantenimiento en las distintas calles y avenidas de esta demarcación, situación que debe es prioritaria a solucionar para que la ciudadanía tenga una mejor calidad de vida sintiendo la seguridad de viajar en el transporte público.FOMENTAR EL DEPORTE PRINCIPALMENTE EN JÓVENES CON PROBLEMAS INTRAFAMILIARES.
Ayudar a los jóvenes a cambiar la perspectiva de vida que tienen, es sin duda necesario para que con ello se reduzca la deserción escolar, la premura por salir de casa y buscar refugio en pandillas que muchas veces terminan en situaciones indescriptibles; con ayuda del deporte podrán rodearse de personas sanas que los motivaran a ocupar su tiempo libre en actividades funcionales para su mente y cuerpo, buscando con esto una mejora en la salud no solo del individuo sino de  la comunidad.RESPETO Y RESCATE DE LAS LENGUAS DE LOS PUEBLOS ORIGINARIOS."
131,OSCAR EUGENIO GUTIERREZ CAMACHO,JUNTOS HACEMOS HISTORIA,"Eliminar a los 200 Diputados Plurinominales de la Cámara de Diputados  Esta propuesta tiene como finalidad mejorar la actividad legislativa de la Cámara de Diputados, en tanto la reducción representará un ahorro para el erario público que podrá utilizarse para contribuir al bienestar general de las y los mexicanos. Su objetivo es eliminar las doscientas diputaciones que son asignadas bajo el principio de representación proporcional. Lo anterior derivado de que su existencia ya no es lógica ni ajustada a las realidades del Estado democrático en que vivimos.  Estas diputaciones plurinominales son una falsa representación del pueblo mexicano, ya que, por su naturaleza, son otorgadas a personas propuestas por sus partidos políticos y no por el consentimiento directo de las y los mexicanos que representan.  Se trata de una supuesta representación popular, en la que, a veces, las y los legisladores plurinominales no conocen con certeza y de primera mano las necesidades de la población que pretenden representar.   En síntesis, el hecho de que existan diputaciones plurinominales significa un gran gasto para las y los mexicanos, así como la falta de representatividad de los verdaderos intereses de la gente. Además, trae como resultado que la construcción de acuerdos sea más difícil y que el proceso legislativo se entorpezca.Reducir el presupuesto a partidos políticos a la mitad  Esta propuesta tiene como finalidad disminuir el financiamiento de los partidos políticos al 50 por ciento. La disminución deberá promover que los partidos políticos realicen un uso más racional de los recursos públicos y ejerzan sus funciones con objetivos más ideológicos que pragmáticos.La implementación de un área especializada  en la región para la atención de las mujeres, donde les brinden la mejor atención posible, con personal capacitado."
132,PABLO GOMEZ ALVAREZ,JUNTOS HACEMOS HISTORIA,"Culminar el proceso para hacer valer plenamente el artículo 127 de la Constitución Política de los Estados Unidos Mexicanos.Eliminar la inmunidad procesal penal de los altos Servidores públicos.Como un partido progresista, incluyente y plural, garantizaremos la protección, promoción y materialización de los derechos a la diversidad sexual e identidad de género, grupos vulnerables y minorías (Afroamericanos, indígenas o discapacidad) Todos somos México Jóvenes, mujeres, adultos mayores, los pueblos y las comunidades indígenas, y personas con discapacidad. Buscamos materializar sus derechos con acciones, programas y recursos públicos.   Como un partido progresista, incluyente y plural, garantizaremos la protección, promoción y materialización de los derechos a los grupos minoritarios con acceso a servicios públicos de salud gratuitos y de calidad sin discriminación ni prejuicios; al reconocimiento pleno de las uniones de las personas del mismo sexo, político, de género o edad; a vivir en un ambiente de armonía y paz, sin poner en riesgo la vida o integridad física por su preferencia sexual o identidad de género, por edad o etnia; a la procuración de justicia pronta y expedita; y a eliminar todos los actos de discriminación o violencia hacia la comunidad LGBTTTIQ, pueblos originarios, adultos mayores o de género."
133,PAULINA BARROSO MORA,PARTIDO ENCUENTRO SOLIDARIO,"Por la defensa a nuestro derecho al trabajo y la dignificación del comercio.Reconocimiento a los derechos de las mujeres.
Trato digno con igual oportunidad de crecimiento a grupos vulnerables. Promover leyes contra la violencia de género."
134,PEDRO SANDOVAL ROBLES,FUERZA POR MÉXICO,"Seguridad y apoyo en los programas sociales para las mujeres.Promover la actividad física y deporte con recursos programas para detectar talentos deportivos.Mi propuesta es a favor de las mujeres maltratadas en mi Pichucalco, siendo un Municipio machista y sin apoyo y respaldo para ellas, es llevar proyectos y actividades para ir sacando el machismo de Pichucalco y sea un Municipio donde nos traten iguales."
135,QUETZALLI TAI MINOR LOPEZ,FUERZA POR MÉXICO,BECAS DE BACHILLERATO Y UNIVERSIDAD DESDE EL 80 AL 100 EN ESCUELAS PARTICULARES.CONSTRUCCIÓN DE CLÍNICA VETERINARIA GRATUITA Y JORNADAS ITINERANTES DE ESTERILIZACIÓN.
136,RAFAEL LUNA ALVISO,FUERZA POR MÉXICO,Promoveré una iniciativa que garantice que los programas sociales lleguen  en tiempo y forma.Gestionaré que se asigne una mayor participación de los fondos destinados a la seguridad pública.Impulsar el desarrollo de las mujeres emprendedoras en el hogar.
137,RAMON PICAZO CASTELAN,REDES SOCIALES PROGRESISTAS,"Economía (economía verde) Sistema de Salud.Sistema Social (Educación, Empleo; Seguridad; Deporte y recreación) La inclusión y la Diversidad.Para los pueblos indígenas y afromexicanos es en apoyar a la construcción de una iniciativa de reforma constitucional que conduzca al reconocimiento pleno a sus derechos."
138,REBECA PATRICIA RODRIGUEZ GUIDO,PARTIDO ENCUENTRO SOLIDARIO,"Fortalecer la institución familiar.Impulsar iniciativas para el empoderamiento de las mujeres.PROMOVER, A TRAVES DE INICIATIVAS EN EL CONGRESO DE LA UNION, PARA QUE LAS SANCIONES POR VIOLENCIA DE GENERO O POR NO RESPETAR LA IGUALDA Y EQUIDAD DE GENERO, NO SEA SOLO DE CARACTER PRIVATIVO, SINO QUE REALICEN UNA FUNCIÓN SOCIAL EN BENEFICIO DE LA POBLACIÓN."
139,REBECA ZOE FLORES MORENO,MOVIMIENTO CIUDADANO,"Movilidad social.Espacios seguros en la Alcaldía, en donde los ciudadanos puedan aprovechar.Fomentar respeto a la comunidad LGBTQ+"
140,ROBERTO JESUS SOTELO PEREZ,FUERZA POR MÉXICO,"Agua en Mayor cantidad y calidad.Impulsar el desarrollo económico vecinal.Hacer una ley que más mujeres se empoderen buscando la autonomía de sus cuerpos y de una mayor participación en el ámbito laboral, para elevar el bienestar en las comunidades."
141,RODRIGO DIAZ RIVERA,PARTIDO DEL TRABAJO,"Creación de una secretaria federal del emprendimiento, generar una economía revolvente en Tlalpan.
Vigilar el presupuesto asignado a Tlalpan y el país.BUSCAR LA INCLUSIÓN PLENA DE LAS MUJERES INDÍGENAS EN EL SECTOR ECONÓMICO, BUSCANDO LA AUTO DETERMINACIÓN PARA LOGRAR EL EMPODERAMIENTO, Y ASEGURARLES EL ACCESO A SERVICIOS DE SALUD REPRODUCTIVA Y SEXUAL, PARA QUE PUEDAN DECIDIR SOBRE SUS CUERPOS."
142,ROGELIO ROMULO ENRIQUE GUERRERO LOPEZ,REDES SOCIALES PROGRESISTAS,Crear un módulo de atención a la ciudadanía  *Banco de alimento *consultorio médico *Despacho jurídicoSalud *Equipamiento *Ambulancia *Mejor atenciónImpulsar políticas con perspectiva de género.
143,ROSA MARTHA LORIA SAN MARTIN,MOVIMIENTO CIUDADANO,"Propuestas enfocadas al restablecimiento de la economía de las pequeñas y medianas empresas a través de la habilitación de factores y propuestas en el ámbito financiero, mercadeo e innovación. En paralelo de propuestas para fortalecer la educación de niñas, niños, adolescentes y jóvenes a fin de reducir los impactos que se traduzcan en mayor desigualdad.Participación de jóvenes, sabemos que hoy vivimos las consecuencias de haber desperdiciado el Bono Demográfico, pero los jóvenes están aquí y ahora en el país con necesidades, buscando alternativas para ser reconocidos, participar y sobrevivir dentro de una pandemia que les robo su libertad.Instituir grupos, asociaciones y entidades que ayuden a promover el respeto por la diversidad de discriminación en la escuelas, trabajos y vida cotidiano; al grado de crear aliados, con un papel crítico para detener y prevenir el hostigamiento y el discrimen. Situando alarmas en vías públicas, tener personal policial que opere en apoyo a la alarma, enfocándose únicamente en la discriminación."
144,ROSALIA CONSUELO BUAUN SANCHEZ,FUERZA POR MÉXICO,"CREACIÓN DE CENTROS DE ATENCIÓN GRATUITA PARA REHABILITACIÓN FÍSICA Y EMOCIONAL POST COVID-19   El Covid-19 ha impactado la vida de miles de personas en nuestro país, dejando importantes secuelas físicas y emocionales. Es por ello que debemos preocuparnos y ocuparnos de ayudar a las personas recuperar su salud de manera integral, para que puedan reintegrarse de forma sana y optimista nuevamente a sus labores cotidianas.REGULARIZACIÓN DEL AUTO EMPLEO INFORMAL.  NO estamos de acuerdo en que los comerciantes ambulantes, así como los artistas callejeros, sean tratados como criminales. Es indispensable que regulemos su situación para que puedan ganarse la vida de forma honrada y digna, sin tener temor a que las autoridades los detengan, encarcelen o les quiten su mercancía.Apoyar la igualdad entre los padres de familia para el cuidado para que ambos puedan desarrollarse en el ambiente laboral, asegurando el cuidado y salud de los niños."
145,ROSALINDA GUTIERREZ ROMAN,PARTIDO DEL TRABAJO,"EDUCACIÓN: EQUIPAR LAS ESCUELAS DESDE NIVEL BÁSICO A SUPERIOR EN LA MATERIA DE COMPUTACIÓN CON UN PROFESOR CAPACITADO, INCLUIR UN IDIOMA INGLES DESDE NIVEL BÁSICO SALUD: IMPLEMENTAR LA ESPECIALIDAD DE GERIATRÍA EN TODOS LOS CENTROS DE SALUD U HOSPITALES PÚBLICOS Y GUARDERÍAS PARA MADRES TRABAJADORAS INDEPENDIENTESQUE EXISTA UNA SOCIEDAD DONDE REALMENTE SE PRACTIQUE LA EQUIDAD DE GÉNERO DÍA A DÍA"
146,ROSARIO ROCIO OLMOS LOPEZ,PARTIDO ENCUENTRO SOLIDARIO,"Vivienda dignaSalud en especialidadesHACER Y REFORMAR LEYES PARA LA PROTECCIÓN DE LA MUJER, GESTIONAR UN PRESUPUESTO PARA APOYAR A MADRES SOLTERAS."
